주소,병원명,종별코드,종별코드명,한방일반의 인원수,한방인턴 인원수,한방레지던트 인원수,한방전문의 인원수,치과일반의 인원수,치과인턴의 인원수,치과레지던트의 인원수,치과전문의 인원수,의사총수,읍면동명,개설일자,홈페이지,의과일반의 인원수,의과인턴의 인원수,의과레지던트의 인원수,의과전문의 인원수,조산사 인원수,우편번호,시군구코드,시군구명,시도코드,시도명,전화번호,X좌표,Y좌표,암호화된 요양기호,(네이버)진료시간
"서울특별시 강남구 일원로 81 (일원동, 삼성의료원)",삼성서울병원,01,상급종합,0,0,0,0,0,0,1,14,1345,"",19940613,http://www.samsunghospital.com,17,116,403,794,0,06351,110001,강남구,110000,서울,02-3410-2114,127.085,37.4883,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQzNjEwMDIjODEjJDEjJDIjJDgz,""
서울특별시 강동구 동남로 892 (상일동),강동경희대학교의대병원,11,종합병원,0,0,0,0,0,0,0,1,281,"",20060227,http://www.khnmc.or.kr,0,22,76,182,0,05278,110002,강동구,110000,서울,02-440-7114,127.158,37.5535,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ5OSQzNjE4MzIjNDEjJDEjJDQjJDgz,""
서울특별시 광진구 능동로 120-1 (화양동),건국대학교병원,01,상급종합,0,0,0,0,0,0,0,3,374,"",19821116,http://www.kuh.ac.kr,2,2,148,219,0,05030,110023,광진구,110000,서울,1588-1533,127.072,37.5404,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQyNjE4MzIjNjEjJDEjJDQjJDgz,""
서울특별시 구로구 경인로 427 구로성심병원 (고척동),구로성심병원,11,종합병원,0,0,0,0,0,0,0,0,35,"",20000209,"",1,0,0,34,0,08223,110005,구로구,110000,서울,02-2067-1500,126.866,37.4997,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQ3IyQwMCQ0NjE0ODEjNjEjJDEjJDQjJDgz,""
서울특별시 구로구 구로동로 148 고려대부속구로병원 (구로동),고려대학교의과대학부속구로병원,01,상급종합,0,0,0,0,0,1,16,10,498,"",19830831,http://guro.kumc.or.kr/main/index.do,1,32,138,300,0,08308,110005,구로구,110000,서울,02-2626-1114,126.885,37.4921,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQ0NjEwMDIjNjEjJDEjJDAjJDgz,""
서울특별시 동대문구 경희대로 23 (회기동),경희대학교병원,01,상급종합,0,0,0,0,0,0,0,0,448,"",19711005,http://www.khuh.or.kr/,2,58,163,225,0,02447,110007,동대문구,110000,서울,02-958-8114,127.052,37.5941,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjEyMjIjODEjJDEjJDIjJDgz,""
서울특별시 동작구 흑석로 102 (흑석동),중앙대학교병원,01,상급종합,0,0,0,0,3,0,1,6,335,"",20041201,http://ch.cauhs.or.kr/,0,27,103,195,0,06973,110008,동작구,110000,서울,1800-1114,126.961,37.5067,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEwMDIjNTEjJDEjJDIjJDgz,""
서울특별시 서대문구 연세로 50-1 (신촌동),연세대학교의과대학세브란스병원,01,상급종합,0,0,0,0,1,0,0,0,1100,"",19740325,http://www.yuhs.or.kr,6,136,180,777,0,03722,110010,서대문구,110000,서울,02-2228-0114,126.941,37.5623,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjE0ODEjNjEjJDEjJDgjJDgz,""
서울특별시 서초구 반포대로 222 (반포동),학교법인가톨릭학원가톨릭대학교서울성모병원,01,상급종합,0,0,0,0,0,6,15,11,775,"",19800502,http://www.cmcseoul.or.kr/,2,51,215,475,0,06591,110021,서초구,110000,서울,02-1588-1511,127.005,37.5009,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQzIyQwMCQyNjE4MzIjODEjJDEjJDIjJDgz,""
서울특별시 성동구 왕십리로 222-1 (사근동),한양대학교병원,01,상급종합,0,0,0,0,0,1,6,7,399,"",19720424,http://seoul.hyumc.com,3,52,121,209,0,04763,110011,성동구,110000,서울,02-2290-8114,127.044,37.5597,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQ0NjE0ODEjNjEjJDEjJDAjJDgz,""
서울특별시 성북구 고려대로 73 고려대병원 (안암동5가),학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),01,상급종합,0,0,0,0,0,0,12,9,562,"",19740325,http://anam.kumc.or.kr/main/index.do,3,33,160,345,0,02841,110012,성북구,110000,서울,1577-0083,127.026,37.587,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjEwMDIjNzEjJDEjJDgjJDgz,""
서울특별시 송파구 송이로 123 국립경찰병원 (가락동),경찰병원,11,종합병원,0,0,0,0,1,0,0,2,106,"",19710220,http://www.nph.go.kr,0,9,31,63,0,05715,110018,송파구,110000,서울,02-3400-1114,127.124,37.4964,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjE4MzIjNjEjJDEjJDgjJDgz,""
서울특별시 송파구 올림픽로43길 88 서울아산병원 (풍납동),재단법인아산사회복지재단 서울아산병원,01,상급종합,0,0,0,0,2,0,20,17,1677,"",19890520,http://www.amc.seoul.kr,14,133,458,1033,0,05505,110018,송파구,110000,서울,02-3010-3114,127.108,37.5266,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQwMyQyNjE0ODEjNDEjJDEjJDQjJDgz,""
서울특별시 양천구 안양천로 1071 (목동),이화여자대학교의과대학부속목동병원,01,상급종합,0,0,0,0,0,4,12,7,424,"",19930730,http://www.eumc.ac.kr/mokdong/,8,73,109,211,0,07985,110020,양천구,110000,서울,02-2650-5114,126.886,37.5363,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQyNjEwMDIjNjEjJDEjJDQjJDgz,""
서울특별시 영등포구 63로 10 여의도성모병원 (여의도동),가톨릭대학교 여의도성모병원,11,종합병원,0,0,0,0,0,0,0,3,215,"",19860820,http://www.cmcsungmo.or.kr/,6,20,48,138,0,07345,110013,영등포구,110000,서울,1661-7575,126.937,37.5183,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEyMjIjODEjJDEjJDIjJDgz,""
서울특별시 은평구 통일로 1021 (진관동),가톨릭대학교 은평성모병원,11,종합병원,0,0,0,0,0,0,0,3,255,"",19610515,"",0,15,48,189,0,03312,110015,은평구,110000,서울,02-1811-7755,126.916,37.6335,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjEwMDIjNDEjJDEjJDQjJDgz,""
서울특별시 종로구 대학로 101 (연건동),서울대학교병원,01,상급종합,0,0,0,0,0,0,0,1,1573,"",19810709,http://www.snuh.org,15,166,600,791,0,03080,110016,종로구,110000,서울,1588-5700,126.999,37.5797,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjE4MzIjODEjJDEjJDYjJDgz,""
서울특별시 종로구 새문안로 29 (평동),강북삼성병원,01,상급종합,0,0,0,0,3,0,0,4,386,"",19790324,http://www.kbsmc.co.kr,3,40,105,231,0,03181,110016,종로구,110000,서울,02-2001-2001,126.968,37.5684,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQ0NjEwMDIjNjEjJDEjJDQjJDgz,""
서울특별시 중구 을지로 245 (을지로6가),국립중앙의료원,11,종합병원,0,0,3,3,0,0,0,4,227,"",20100402,http://www.nmc.or.kr,3,23,75,116,0,04564,110017,중구,110000,서울,02-2260-7114,127.006,37.5672,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQ3IyQwMCQyNjEwMDIjODEjJDEjJDIjJDgz,""
울산광역시 동구 대학병원로 25 울산대학교병원 (전하동),학교법인 울산공업학원 울산대학교병원,01,상급종합,0,0,0,0,4,1,5,8,377,"",19870701,http://www.uuh.ulsan.kr/main/main.asp,0,26,94,237,2,44033,260002,울산동구,260000,울산,052-250-7000,129.429,35.5201,JDQ4MTYyMiM4MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjE4MzIjNDEjJDEjJDgjJDgz,""
인천광역시 남동구 남동대로774번길 21-0 의료법인길의료재단길병원,의료법인 길의료재단 길병원,01,상급종합,0,0,0,0,1,1,2,6,450,"",19870217,http://www.gilhospital.com/,3,38,123,276,0,21565,220006,인천남동구,220000,인천,"",126.709,37.4522,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQzIyQwMCQyNjE0ODEjODEjJDEjJDYjJDgz,""
인천광역시 부평구 동수로 56 (부평동),가톨릭대학교인천성모병원,01,상급종합,0,0,0,0,1,0,0,2,304,부평동,19810806,http://www.cmcism.or.kr/,0,22,70,209,0,21431,220003,인천부평구,220000,인천,032-1544-9004,126.725,37.4848,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjE4MzIjNDEjJDEjJDgjJDgz,""
인천광역시 서구 신석로 70 (석남동),(의)성세의료재단 뉴성민병원,11,종합병원,0,0,0,0,0,0,0,0,23,석남동,19930708,http://www.smgh.co.kr,1,0,0,22,0,22789,220005,인천서구,220000,인천,032-726-1000,126.67,37.5098,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4MiQ0NjEwMDIjNjEjJDEjJDAjJDgz,""
인천광역시 서구 심곡로100번길 25-0 인천국제성모병원,가톨릭관동대학교 국제성모병원,11,종합병원,0,0,0,2,1,0,0,3,180,"",20140117,http://www.ish.or.kr,0,19,32,123,0,22711,220005,인천서구,220000,인천,032-1600-8291,126.684,37.5424,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ4OSQ0NjE0ODEjNjEjJDEjJDgjJDgz,""
인천광역시 서구 청마로19번길 5-  (당하동),검단탑병원,11,종합병원,0,0,0,0,2,0,0,2,45,"",20090112,http://www.tophospital.co.kr/,0,0,0,41,0,00000,220005,인천서구,220000,인천,032-590-0114,126.671,37.5925,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQzNjE4MzIjNDEjJDEjJDQjJDgz,""
인천광역시 연수구 먼우금로 98-   (동춘동),(의)나사렛의료재단 나사렛국제병원,11,종합병원,1,0,0,2,2,0,0,0,45,"",20091201,http://www.nasaret.co.kr/,1,0,0,39,0,00000,220007,인천연수구,220000,인천,032-899-9999,126.67,37.408,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ3OSQyNjEwMDIjNDEjJDEjJDgjJDgz,""
인천광역시 중구 인항로 27 (신흥동3가),인하대학교의과대학부속병원,01,상급종합,0,0,0,0,1,0,0,3,401,신흥동3가,19960322,http://www.inha.com/mainpage/index.htm,1,39,122,235,0,22332,220004,인천중구,220000,인천,032-890-2114,126.634,37.4587,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQzNjEwMDIjNjEjJDEjJDAjJDgz,""
전라남도 광양시 공영로 71  (중동),광양사랑병원,11,종합병원,0,0,0,0,0,0,0,0,20,"",20010430,http://www.gysarang.com/,0,0,0,20,0,57788,360700,광양시,360000,전남,061-797-7000,127.697,34.9362,JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5MiQ0NjE0ODEjNDEjJDEjJDgjJDgz,""
전라남도 화순군 화순읍 서양로 322 (),화순전남대학교병원,01,상급종합,0,0,0,0,0,0,0,2,261,"",20040406,http://www.cnuhh.com/,0,46,56,157,0,58128,360022,화순군,360000,전남,061-379-7114,127.003,35.0594,JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQ0NjEwMDIjODEjJDEjJDIjJDgz,""
전라북도 익산시 무왕로 895 (신동),원광대학교병원,01,상급종합,0,0,0,0,1,0,1,1,251,"",19811027,http://www.wkuh.org/,1,20,69,158,0,54538,350300,익산시,350000,전북,063-859-1114,126.96,35.9646,JDQ4MTYyMiM2MSMkMSMkNiMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEyMjIjNDEjJDEjJDgjJDgz,""
전라북도 전주시 덕진구 건지로 20  (금암동),전북대학교병원,01,상급종합,0,0,0,0,0,15,1,3,443,"",19830128,http://www.cuh.co.kr/,1,47,139,237,0,54907,350402,전주덕진구,350000,전북,063-250-1114,127.141,35.8471,JDQ4MTYyMiM2MSMkMSMkNiMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEwMDIjNDEjJDEjJDQjJDgz,""
충청남도 천안시 동남구 망향로 201  (안서동),단국대학교의과대학부속병원,01,상급종합,0,0,0,0,0,0,0,0,342,"",19940425,http://www.dkuh.co.kr/main/default.asp,0,49,86,207,0,31116,340202,천안동남구,340000,충남,041-1588-0063,127.173,36.8416,JDQ4MTYyMiM2MSMkMSMkMiMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQ0NjEwMDIjODEjJDEjJDYjJDgz,""
"충청남도 천안시 동남구 순천향6길 31  5동 (봉명동,순천향대학교병원)",순천향대학교부속 천안병원,01,상급종합,0,0,0,0,1,0,0,1,305,"",19820625,http://www.schmc.ac.kr/cheonan/kor/index.do,1,25,88,189,0,31151,340202,천안동남구,340000,충남,041-570-2114,127.136,36.8027,JDQ4MTYyMiM2MSMkMSMkMiMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQ0NjEwMDIjNjEjJDEjJDgjJDgz,""
충청북도 청주시 서원구 1순환로 776-0 충북대학교병원,충북대학교병원,01,상급종합,0,0,0,0,0,0,0,4,324,"",19910531,http://www.cbnuh.or.kr/business/main.action,6,0,113,201,0,28644,330104,청주서원구,330000,충북,043-269-6114,127.461,36.6242,JDQ4MTYyMiM1MSMkMSMkOCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjEyMjIjODEjJDEjJDIjJDgz,""
충청북도 충주시 국원대로 82-0 건국대학교충주병원,건국대학교 충주병원,11,종합병원,0,0,0,0,0,0,0,0,43,"",19890725,http://www.kuh.co.kr,0,0,1,42,0,27376,330200,충주시,330000,충북,043-840-8200,127.929,36.979,JDQ4MTYyMiM1MSMkMSMkOCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjE4MzIjNjEjJDEjJDgjJDgz,""
